1 abacus   n. 算盘
676 corresponding  a. 符合的,一致的,相同的,相应的,相当的

677 corrupt  a. 腐败的,贪污的,败德的; v. 使...腐烂,使...恶化

678 corrupted  毁坏的

679 cosine  余弦

680 cost  n. 代价,价值,费用; v. 花费,值,需要; [计算机] 费用

681 costing  n. 成本计算,生产费

682 count  v. 计算,视为,依赖; n. 计数

683 counter  n. 计算器,计算者,柜台; [计算机] 计数器; a. 相反的; ad. 与…相反地; vt. 反对,反击; vi. 反对,反击

684 counterclockwise  反时针方向(的)

685 country  a. 国家(的),农村(的); n. 国家

686 couple  n. 对,夫妇,数个; v. 加倍,成双,连结

687 coupler  耦合器

688 course  n. 课程,讲座,过程,路线,一道(菜)

689 courseware  课件

690 cover  n. 封面,盖子,表面; v. 覆盖,涉及,包含

691 covering  n. 覆盖物,遮避物; a. 掩护的,掩盖的

692 CPU  n.[计算机]中央处理器

693 crank  n. 曲柄; v.用曲柄启动或转动

694 crash  n. 轰隆声,猛撞,崩溃,破产,垮台; v. 撞碎,猛使...破碎,迫降

695 craze  n. 狂热,大流行; v. 发狂,开裂

696 create  vt. 创造,造成

697 creation  n. 创造,创作

698 creator  [计算机] 创建者

699 credential  n. 国书,凭据,印信

700 credit  n. 信用,荣誉,贷款,学分; v. 归功于,赞颂,信任
701 criteria  n. 标准

702 criterion  n. 标准,准则

703 critical  a. 批评的,决定性的,危险的,挑剔的; a. 临界的

704 critical value  临界值

705 crop  n. 农作物,产量,平头; v. 收割,修剪,种植

706 crop marks  剪切记号

707 cross  n. 十字架,十字架形物件,交叉路; a. 生气的,交叉的,相反的; v. 交叉,横过,越过

708 cross cursor  十字光标

710 crowding  加密，加浓

711 cryogenics  低温学

712 cryptographic  用密码写的

713 cryptography  密码术,密码系统

714 crystal  a. 清澈透明的,晶体的; n. 水晶

715 crytic  隐含的

716 Ctrl key  控制键

717 cue  n. 开端,线索,开始

718 culling  挑选

719 cumulative  a. 累积的

720 currency  n. 货币

721 current  n. (水、气、电)流,趋势; a. 流通的,现在的,最近的

722 cursor  光标

723 curtate  水平分界线,卡片横向穿孔区

724 cushion  n. 垫子,橡皮软垫; v. 加垫褥

726 customer  n. 顾客

727 customize  [计算机] 用户化

728 cut  n. 切口,割伤,降低; v. 切割,减少,刺痛; vbl. 切割,减少,刺痛; [计算机] 剪掉

729 cutoff  剪切掉

730 cutout  n. 挖剪细工,挖剪图画,删除部份

732 cybernate  计算机控制化,使电脑化

733 cybernation  计算机控制

734 cybernetics  n. 控制论

735 cyberspace  电脑空间

736 cycle  n. 循环,周期; v. 骑自行车

737 cycle control  循环控制

738 cyclic  循环的

739 cylinder  n. 汽缸,圆筒,圆柱体

740 daemon  守护进程; 如Internet中用于邮件收发的后台程序

741 daily  a. 每日的; ad. 每日,天天; n. 日报

742 daisy-chain  菊花链

743 damage  n. (pl.)赔偿金,损坏,毁坏; v. 损害,毁坏

744 damper  阻尼器,减震器,风阀

745 damping  阻尼

746 dark  a. 黑暗的; n. 黑暗,暗处

747 dark shading  浓阴影

748 dashed  虚线

749 dash-out  删去

750 DAT drive  DAT驱动器

751 database  n. 数据库

752 data-in  数据输入

753 date  n. 日期,约会,枣椰子; v. 约会,定日期; n.[计算机] DOS命令 : 显示或设置系统日期

754 datum  n. 材料,资料,已知数

755 day  n. 白天

756 db  分贝

757 deactivate  v. 使无效

758 deactivated  无效的

759 dead  a. 死的; ad. 完全地; n. 死者

760 dead halt  死停，完全停机

761 deadlock  n. 僵局,停顿; v. 停顿,相持不下

762 deal  n. 交易,协定,份量; v. (dealt,dealt[delt])处理,应付,分配

763 dealer  v.&n. 商人

764 dearly  ad.充满深清地

765 death  n. 死,死亡; 死神

766 debit  n. 借方,借; v. 记入借方; [计算机] 借方

767 debug  调试，驱除(某处的)害虫 排除...的故障; 消除...的误差, 改正...的缺点, 纠正...的错误; 审查 【无】调整, 调试, 调谐 寻出并拆除...内的窃听器 (用电子仪器)使(窃听器)失效

768 debug statement  调试语句

769 debugger  调试器，调试程序

770 debugging tool  调试工具

771 dec-  [词头]十(进的)，十倍的

772 decade  n. 十年

773 decay  n. 衰退,腐败; v. 衰退,腐败

774 deci-  [词头]十分之一

775 decibel  n. 分贝

776 decide  v. 决定,判决

777 decimal  a. 十进位的,小数的

778 decipher  v. 译解

779 decision  n. 决定,决心

780 deck  n. 甲板; v. 装饰

781 declaration  n. 宣布,宣言

782 declarative  a. 宣言的(布告的,说明的,陈述的,演说的,谴责的)

783 declarator  说明符

784 declare  v. 宣布,声明,申报

785 declared  承认的,公告的

786 decode  v. 解码,译解; [计算机] 译码

787 decoder  译码器

788 decollate  v. 斩首,杀头

790 decompression  还原,解压

791 deconcentration  分散

792 decrease  n. 减少,减少之量; v. 减少

793 decreasing  递减的

794 decrement  n. 渐减,减少,减少量; [计算机] 递减

795 decrypt  v. 译,解释

796 dedicate  v. 献出

797 dedicated  a. 专注的,献身的; a. 专用的

798 dedication  n. 奉献

799 deduction  n. 减除,扣除,减除额; n. 推论,推理,演绎

800 default  n. 假设值,默认(值),不履行责任,缺席; v. 默认,不履行义务,缺席,拖欠; [计算机] 缺省

801 defective  a. 有缺陷的,欠缺,不完全变化动词; n. 有缺陷的人,不完全变化动词

802 definable  可定义的,可确定的

803 define  vt. 定义,解释

804 definition  n. 定义,清晰度
805 deflect  v. 打歪,使偏,歪

806 deflection  n. 歪斜,偏,偏向

807 degauss  消磁

808 degausser  消磁器

809 degradation  n. 降格,堕落,退化

810 degrade  v. 降格

811 degree  n. 程度,度数,学位

812 delay  n. 耽搁,迟滞; v. 耽搁,延迟

813 delegation  n. 代表团，委派,，授权

814 delete  v. 删除

815 delete all  全部删除

816 deletion  n. 删除

817 delimit  v. 定界限,划界

818 delimiter  定界符,分隔符

819 delinquent  n. 行为不良的人,流氓; a. 怠忽的,有过失的

820 deliver  v. 递送,表达,释放,交付,接生

821 delivery  n. 递送,交付,分娩

822 demagnetization  去磁,退磁

823 demand  n. 要求,需求; v. 要求,查询

824 demo  n. 示威,样本唱片

825 demodulate  使解调,使检波

826 demodulator  解调器

827 demographic  人口统计学的; a. 人口的,人口统计的

828 demon  n. 魔鬼

829 demonstrate  v. 示范,演示,证明,示威

830 demonstration  n. 示范,实证

831 demonstration software  演示软件

832 demount  卸下

833 demultiplexer  多路解调器

834 denary  十进制的,十的

835 denote  v. 指示,表示

836 density  n. 密度

837 deny  v. 否认

838 department  n. 部,部门,系

839 depend  v. 依靠,相信,信赖

840 dependence  n. 依赖,依存,信赖

841 dependent  a. 依靠的,依赖的

842 dependents  从属单元格

843 depletion  n. 消耗,罄尽,放血

844 deposit  n. 存款,定金,堆积物; vt. 存放,堆积; vi. 沉淀

845 depress  v. 使...沮丧,压低; [计算机] 降低

846 depth  n. 深度

847 deque  双端队列

848 dequeue  离队，出列

849 derail  v. 使出轨; v. 出轨

850 derivation  n. 引出,诱导,来历

851 descendant  n. 子孙,后代

852 descending order  降序

853 describe  v. 描述

854 description  n. 描写,描述,说明书,作图

855 descriptor  描述符

856 descry  v. 看出,看见,察看

857 deselect  取消选择

858 design  n. 设计,图样; v. 设计,计划

859 design aid  设计工具

860 designate  v. 指定,标示

861 designated  指定的，特指的

862 designation  n. 指示,指定,指名

863 desirable  a. 令人想要的; [计算机] 希望的

864 desire  n. 愿望,欲望,情欲; v. 向往,要求,请求; vt. 渴望

865 desired  a. 渴望的, 想得到的

866 desktop  [计算机] 桌面

867 destination  n. 目的地,终点

868 destroy  v. 破坏,毁坏; [计算机] 撤消

869 detached  a. 超然的,分离的; v. 分离; vbl. 分离

870 detail   n. 细节,详情; vt.详述，详细说明

871 detailed  a. 详细的

872 detect  v. 发现; [计算机] 检测

873 detent  制动器

874 deter  v. 制止,使...断念

875 determinant  n. 行列式(决定因素); a. 决定性的

876 develop  v. 发展,发达,进步,开发,冲洗照片

877 developer  n. 开发者

878 developing  a. 发展中的

879 development  n. 发展,显影

880 development system  开发系统

881 development tool  开发工具

882 deviation  n. 偏差(偏差数)

883 device  n. 装置,设计,策略,设备

884 device driver  设备驱动程序

885 diacritic  发音符号的,可区别的

886 diacritical  可区分的

887 diad  双位二进制

888 diaeresis  分音符

889 diagnose  v. 诊断; vi. 判断,诊断(疾病); vt. 诊断(疾病)

890 diagnostic  a. 特征的,诊断的

891 diagnostics  诊断学

892 diagonal  a. 对角线的,斜的,斜纹的; n. 对角线,斜线,斜列

893 diagonally  斜(对)地,对角地

894 diagram  n. 图解,图表; v. 用图解法表示

895 dial  n. 刻度盘,针面,转盘; v. 拨; [计算机] 拨号

896 dialect  n. 方言

897 dialing  拨号,呼叫

898 dialog  n. 对话,对白

899 dialog box  对话框

900 diamond  n. 钻石

901 dibit  双位，二位组

902 dichotomizing search  二分法检索

903 dictionary  n. 词典,字典,辞典

904 differ  v. 不一致,不同
905 difference  n. 不同,差异

906 different  a. 不同的

907 differentiate  v. 区别,差别

908 differentiator  微分器

909 digest  消化

910 digit  n. 数字,位数,指头

911 digital  a. 数字的

912 digitize  vt. 数字化

913 dim  adj. 暗淡的, 模糊的; vt. 使暗淡, 使失去光泽; n. <美俚>笨蛋、傻子

915 dimension  n. 尺寸,次元,容积,维度

916 dimensional  a. 空间的

917 dimensionality  维数,度数

918 dimmed  暗淡的，无效的

919 diode  二极管

920 dip  蘸;下沉;倾斜;汲出;舀取;翻阅;涉猎

921 diphthong  连元音字,双重元音,双元音字

922 dipping  浸渍(法)；(可)调

923 DIR  (directory)列目录，显示文件列表

924 direct  a. 笔直的,直接的,坦白的; v. 指示,指挥,命令

925 direct access  直接存取

926 direct image  直接成像

927 direct memory access  直接内存访问

928 direction  n. 方向,指导,用法说明

929 direction key  方向键

930 directive   a. 指导的,指挥的,管理的; n. 指令; [计算机] 指令

931 directly   ad. 直接地(立即,完全)

932 director  n. 董事,经理,主管,指导者,导演

934 directory  n. 目录,工商名录,指南; [计算机] 目录

935 directory delete  目录删除

936 directory entry  目录项

937 directory listing  目录列表

938 disable  v. 使...失去能力

939 disabled  a. 残废的; n. 残疾人

940 disappear  v. 消失

941 disarm   v. 解除武装,回复平常的编制,缓和

942 disassemble  v. 解开,分解; [计算机] 反汇编

943 disc  n. 断开(折扣,发现的,发现者,鉴别器)

944 discard  n. 丢弃,扔掉; v. 丢弃,抛弃

945 discarded  放弃的，删除的

946 discipline  n. 训练,纪律,惩罚; v. 训练,惩罚

947 disconnect  v. 断开; vt. 拆开,分开

948 disconnection  n. 断开

949 discrete  a. 不连续的 离散的; [计算机] 分离 离散

950 discriminant  判别式

951 disjunction  析取,分离,分裂

952 disk  n. 磁盘片; [计算机] 磁盘

953 diskette  软盘

954 diskless  无盘

955 dismiss  v. 解散,开除

956 dismount  v. 使...下马,下马

957 dispatch  v. 派遣; [计算机] 分派

958 dispatcher  调度器,调度程序,分配器

959 dispersant  分散剂

960 displace  v. 移置,替换

961 displacement  n. 换置,转位,移动; [计算机] 位移

962 display  n. 显示,陈列,炫耀; v. 显示,表现,夸示

963 dispose  v. 处理,处置,销毁

964 disposition  n. 性情,处置; [计算机] 配置情况

965 disregard  n. 忽视; v. 忽视,不顾

966 dissector  析象管

967 dissemination  传播,宣传,传染(病毒)

968 dissipation  损耗

969 dissolve  v. 溶解,解散

970 distinction  n. 差别,不同,对比,区分,辨别

971 distinguish  v. 区别,辨别,表现突出

972 distort  v. 扭曲

973 distortion  n. 扭曲,变形,曲解

974 distribute  v. 分配,散布

975 distributed  分布的,分布式的

976 dithered  颤动的

977 dithered colour  抖动色

978 dithering  抖动

979 ditto  n. 同上,同上符号,很相似的东西; a. 同样的,前项的; ad. 与前同地

980 divergence  n. 分歧

981 diversion  n. 转向,转移

982 divide  v. 除,分割,划分,隔开

983 dividend  n. 红利,股息,彩金,被除数

984 divider  除法器

985 divisibility  可除性,可约性

986 division  n. 区分,分开,除法,公司,部门，师（军队里）

987 divisor  除数

988 document  n. 文件,公文; v. 记载,用文件等证明; [计算机] 文档

989 document delivery  文档传递

990 document format  文档格式

991 document handling  文件处理

992 document icon  文件图标

993 document name  文件名

994 document template  文档模板

995 document window  文档窗口

996 documentation  n. 文件

997 dollar sign  美元符，币符

998 domain  n. 领域; [计算机] 域

999 dominance  n. 支配(控制,统治,权威,优势)

1000 dominant  a. 占优势的

1001 DOS prompt  DOS提示符

1002 dot  n. 点,圆点,小孩子,小东西; v. 作小点记号,加小点于,点缀; [计算机] 点

1003 dot addressable  点可寻址的

1004 double  n. 两倍; a. 两倍的,双重的; v. 加倍的,快步走,加倍努力

1005 double click  双击

1006 double space  两倍行距
1007 double speed  双速

1008 double strike  双线

1009 double-click  双击

1010 doughnut  n. 油炸圈饼

1011 down  a. 向下的; ad. 向下; n. 绒毛,汗毛; prep. 沿着...而下

1012 down arrow  下箭头键

1013 download  v. 下载

1014 downstream  ad. 下游地; a. 下游的

1015 DPI  (dots per inch)每英寸点数

1016 draft  n. 草稿,草图,汇票; v. 起草,征兵

1017 drag  n. 拖,拖累; v. 拖累,拖拉,慢条斯理地走

1018 drag and drop  拖放

1019 drag image  拖拽图像

1020 drain  n. 下水道,排水沟,消耗; v. 耗尽,排出沟外

1021 dram  动态随机访问存储器

1022 draw  v. (drew,drawn) 拉,拖,挨近,提取,画,绘制
